"homePTS","homeORBR","homeDRBR","homeFGR","home3PR","home2PR","homeFTR","homeWins","awayPTS","awayORBR","awayDRBR","awayFGR","away3PR","away2PR","awayFTR","awayWins","pastMatchesScoreDifference","isHomeWinner"
"1",120,0.138888888888889,0.861111111111111,0.544303797468354,0.5,0.555555555555556,0.8125,0.5,82,0.314814814814815,0.685185185185185,0.37797619047619,0.245726495726496,0.422660098522167,0.560606060606061,NA,0,"TRUE"
"2",86,0.153846153846154,0.846153846153846,0.443037974683544,0.263157894736842,0.5,0.6875,1,86,0.363636363636364,0.636363636363636,0.411764705882353,0.357142857142857,0.43859649122807,0.5,0.5,0,"TRUE"
"3",101,0.205128205128205,0.794871794871795,0.513513513513513,0.333333333333333,0.559322033898305,0.689655172413793,1,87,0.346938775510204,0.653061224489796,0.383720930232558,0.294117647058824,0.405797101449275,0.695652173913043,0.5,0,"FALSE"
"4",93,0.255148741418764,0.744851258581236,0.496753246753247,0.334134615384615,0.533052884615385,0.550691244239631,0,89,0.256410256410256,0.743589743589744,0.411111111111111,0.307692307692308,0.428571428571429,0.578947368421053,0,0,"TRUE"
"5",119.5,0.178819444444444,0.821180555555556,0.53118804331249,0.45,0.562260536398467,0.832175925925926,0.5,94,0.377777777777778,0.622222222222222,0.428571428571429,0.263157894736842,0.472222222222222,0.611111111111111,0.25,0,"TRUE"
"6",107,0.219512195121951,0.780487804878049,0.45679012345679,0.4,0.46969696969697,0.72972972972973,NA,86,0.222222222222222,0.777777777777778,0.453125,0.375,0.479166666666667,0.709677419354839,0.5,0,"FALSE"
"7",98,0.182983682983683,0.817016317016317,0.505302771125556,0.40080971659919,0.536885245901639,0.75679347826087,1,89.5,0.232441471571906,0.767558528428094,0.435974667902379,0.361888111888112,0.46687614558785,0.640046296296296,0.75,0,"TRUE"
"8",126,0.186046511627907,0.813953488372093,0.6125,0.64,0.6,0.8,0.75,93.5,0.219339622641509,0.780660377358491,0.389452700253715,0.381410256410256,0.392684610075914,0.6875,0.75,0,"TRUE"
"9",105.5,0.208624708624709,0.791375291375291,0.471042471042471,0.404761904761905,0.483742649602214,0.729442970822281,0.75,102,0.214285714285714,0.785714285714286,0.469879518072289,0.375,0.492537313432836,0.620689655172414,0.25,0,"FALSE"
"10",100.5,0.179700977573318,0.820299022426682,0.488973313565604,0.482323232323232,0.498629302467256,0.813920454545455,0.25,100,0.27027027027027,0.72972972972973,0.451219512195122,0.388888888888889,0.46875,0.76,0.25,0,"TRUE"
"11",90,0.24390243902439,0.75609756097561,0.364705882352941,0.368421052631579,0.363636363636364,0.875,0.5,96.5,0.32046783625731,0.67953216374269,0.413149350649351,0.298245614035088,0.445066334991708,0.684865900383142,0.25,0,"FALSE"
"12",102,0.194444444444444,0.805555555555556,0.470588235294118,0.318181818181818,0.523809523809524,0.882352941176471,0.5,86,0.273016536603493,0.726983463396507,0.404573829234497,0.341258741258741,0.429894831521844,0.714576318742985,0.666666666666667,0,"TRUE"
"13",88,0.166666666666667,0.833333333333333,0.445945945945946,0.357142857142857,0.466666666666667,0.80952380952381,0.25,84,0.461538461538462,0.538461538461538,0.355555555555556,0.25,0.413793103448276,0.6,0,3,"TRUE"
"14",91.5,0.247508305647841,0.752491694352159,0.447145061728395,0.296218487394958,0.484837716181,0.777950310559006,0.75,84,0.24390243902439,0.75609756097561,0.430379746835443,0.470588235294118,0.419354838709677,0.8,0.25,0,"FALSE"
"15",105,0.0810810810810811,0.918918918918919,0.518987341772152,0.375,0.581818181818182,0.666666666666667,1,98,0.305681818181818,0.694318181818182,0.419133192389006,0.302197802197802,0.441840277777778,0.811764705882353,0.75,0,"FALSE"
"16",92,0.320754716981132,0.679245283018868,0.367816091954023,0.117647058823529,0.428571428571429,0.722222222222222,0.75,93,0.255813953488372,0.744186046511628,0.418604651162791,0.421052631578947,0.417910447761194,0.764705882352941,0.5,0,"TRUE"
"17",85,0.285714285714286,0.714285714285714,0.354166666666667,0.192307692307692,0.414285714285714,0.666666666666667,0.5,93.3333333333333,0.337536117677962,0.662463882322038,0.423913951545531,0.243182743182743,0.479971597212977,0.59040404040404,0.5,0,"FALSE"
"18",120,0.120050282840981,0.879949717159019,0.613942307692308,0.57,0.627586206896552,0.707692307692308,0.75,94,0.243243243243243,0.756756756756757,0.40418118466899,0.311111111111111,0.447337962962963,0.8,0.25,0,"TRUE"
"19",113,0.327868852459016,0.672131147540984,0.426966292134831,0.428571428571429,0.426666666666667,0.738095238095238,0.5,106,0.333333333333333,0.666666666666667,0.5,0.444444444444444,0.518518518518518,0.8125,0.166666666666667,0,"TRUE"
"20",94,0.232558139534884,0.767441860465116,0.45679012345679,0.210526315789474,0.532258064516129,0.695652173913043,0.5,88.3333333333333,0.292973692973693,0.707026307026307,0.404753146525298,0.371794871794872,0.410533910533911,0.748344774980931,0,0,"TRUE"
