"gmSeason","gmDate","awayAbbr","awayDayOff","awayPTS","awayAST","awayTO","awaySTL","awayBLK","awayPF","awayFGA","awayFGM","away2PA","away2PM","away3PA","away3PM","awayFTA","awayFTM","awayORB","awayDRB","awayTRB","awayPTS1","awayPTS2","awayPTS3","awayPTS4","awayPTSEx","homeAbbr","homeDayOff","homePTS","homeAST","homeTO","homeSTL","homeBLK","homePF","homeFGA","homeFGM","home2PA","home2PM","home3PA","home3PM","homeFTA","homeFTM","homeORB","homeDRB","homeTRB","homePTS1","homePTS2","homePTS3","homePTS4","homePTSEx"
"2012-13","2012-10-30","WAS",0,84,26,13,11,10,19,90,32,58,24,32,8,20,12,18,21,39,24,15,23,22,0,"CLE",0,94,22,21,7,5,21,79,36,59,29,20,7,22,15,18,36,54,31,19,24,20,0
"2012-13","2012-10-30","BOS",0,107,24,16,4,2,23,75,39,62,33,13,6,28,23,7,34,41,25,29,22,31,0,"MIA",0,120,25,8,8,5,20,79,43,63,35,16,8,32,26,5,31,36,31,31,31,27,0
"2012-13","2012-10-30","DAL",0,99,22,12,9,5,25,85,40,70,35,15,5,18,14,9,31,40,25,23,26,25,0,"LAL",0,91,24,14,6,5,21,77,38,64,35,13,3,31,12,15,31,46,29,17,20,25,0
"2012-13","2012-10-31","DEN",0,75,19,22,9,5,22,88,33,70,29,18,4,11,5,16,38,54,22,16,14,23,0,"PHI",0,84,18,16,13,11,14,85,30,60,23,25,7,21,17,14,33,47,25,21,19,19,0
"2012-13","2012-10-31","IND",0,90,22,19,3,10,16,78,37,67,32,11,5,16,11,9,37,46,27,21,15,27,0,"TOR",0,88,18,10,12,8,18,91,33,74,27,17,6,19,16,15,27,42,25,23,23,17,0
"2012-13","2012-10-31","HOU",0,105,28,20,12,3,24,79,39,52,29,27,10,23,17,12,33,45,27,28,17,33,0,"DET",0,96,21,16,12,4,15,79,35,63,29,16,6,26,20,10,26,36,22,36,23,15,0
"2012-13","2012-10-31","SAC",0,87,14,21,10,5,29,84,34,67,28,17,6,16,13,11,29,40,23,17,23,24,0,"CHI",0,93,21,18,8,10,19,79,33,70,31,9,2,33,25,14,32,46,25,19,25,24,0
"2012-13","2012-10-31","SA",0,99,22,16,9,8,21,80,38,60,32,20,6,26,17,10,33,43,28,15,28,28,0,"NO",0,95,26,15,7,6,20,80,35,63,31,17,4,23,21,9,34,43,31,19,21,24,0
"2012-13","2012-10-31","DAL",1,94,20,16,8,5,32,85,32,63,21,22,11,26,19,8,32,40,26,37,13,18,0,"UTA",0,113,24,14,10,8,25,89,38,75,32,14,6,42,31,20,41,61,25,30,37,21,0
"2012-13","2012-10-31","GS",0,87,19,18,9,3,20,86,33,69,28,17,5,23,16,17,32,49,25,23,17,22,0,"PHO",0,85,16,18,10,12,23,80,32,59,28,21,4,22,17,11,33,44,21,21,25,18,0
"2012-13","2012-10-31","MEM",0,92,24,21,14,4,25,86,33,72,31,14,2,30,24,17,27,44,24,29,24,15,0,"LAC",0,101,25,22,12,9,27,74,38,59,33,15,5,29,20,8,31,39,26,23,24,28,0
"2012-13","2012-10-31","LAL",1,106,21,25,6,2,29,72,36,54,28,18,8,32,26,15,30,45,26,31,19,30,0,"POR",0,116,19,12,10,5,20,83,42,63,33,20,9,28,23,10,20,30,30,32,30,24,0
"2012-13","2012-11-01","OKC",0,84,18,18,6,5,20,77,29,60,22,17,7,23,19,12,36,48,24,16,26,18,0,"SA",1,86,27,13,9,4,21,79,35,60,30,19,5,16,11,6,33,39,21,24,21,20,0
"2012-13","2012-11-02","DEN",2,89,22,14,5,5,17,84,32,58,25,26,7,27,18,15,30,45,18,19,31,21,0,"ORL",0,102,24,13,8,8,24,86,42,71,37,15,5,18,13,11,35,46,29,29,20,24,0
"2012-13","2012-11-02","IND",2,89,19,19,5,5,16,83,33,57,26,26,7,27,16,14,38,52,20,23,27,19,0,"CHA",0,90,18,11,10,9,23,85,31,66,24,19,7,24,21,10,31,41,17,22,35,16,0
"2012-13","2012-11-02","MIL",0,99,26,19,12,5,17,86,40,68,32,18,8,12,11,11,35,46,25,21,30,23,0,"BOS",3,88,22,18,9,4,18,74,33,60,28,14,5,21,17,6,30,36,18,12,28,30,0
"2012-13","2012-11-02","CHI",2,115,34,17,7,4,21,69,44,59,40,10,4,30,23,5,36,41,32,28,23,32,0,"CLE",3,86,23,17,7,1,25,79,32,59,24,20,8,27,14,11,22,33,16,19,21,30,0
"2012-13","2012-11-02","HOU",2,109,22,21,8,2,18,90,38,60,30,30,8,29,25,23,35,58,28,25,28,28,0,"ATL",0,102,23,13,12,4,26,85,40,63,33,22,7,17,15,7,29,36,21,23,30,28,0
"2012-13","2012-11-02","MIA",3,84,18,21,4,5,18,71,33,51,26,20,7,13,11,7,34,41,17,27,19,21,0,"NY",0,104,27,14,10,0,22,84,36,48,17,36,19,15,13,13,28,41,33,22,26,23,0
"2012-13","2012-11-02","UTA",2,86,19,15,7,6,21,85,35,57,25,28,10,12,6,16,28,44,19,22,22,23,0,"NO",2,88,23,12,7,4,16,81,37,67,32,14,5,14,9,12,30,42,19,21,27,21,0
"2012-13","2012-11-02","SAC",2,80,17,12,7,4,34,89,32,73,29,16,3,16,13,11,32,43,18,23,24,15,0,"MIN",0,92,17,11,4,10,17,87,32,70,30,17,2,36,26,17,36,53,28,22,20,22,0
"2012-13","2012-11-02","POR",2,92,17,12,4,0,25,89,32,63,23,26,9,24,19,11,33,44,21,21,24,26,0,"OKC",1,106,18,12,2,10,22,76,39,67,34,9,5,32,23,8,39,47,26,23,25,32,0
"2012-13","2012-11-02","DET",2,89,20,10,2,5,19,90,37,77,33,13,4,19,11,10,29,39,28,18,17,26,0,"PHO",2,92,15,14,6,5,20,92,40,81,38,11,2,14,10,15,37,52,24,30,17,21,0
"2012-13","2012-11-02","LAC",2,105,24,12,12,4,26,84,38,62,30,22,8,27,21,9,28,37,28,24,30,23,0,"LAL",2,95,15,20,7,7,23,68,34,52,27,16,7,28,20,7,31,38,23,24,20,28,0
